,genre,runtime,content_rating,director,actor
94," 코미디, 드라마 ", 124분 0초 , 12세이상관람가 ,이석훈,"황정민, 엄정화"
95," 코미디, 액션, 드라마, 범죄 ", 112분 0초 , 12세이상관람가 ,신태라,"김하늘, 강지환, 임성현"
96, 드라마 , 124분 0초 , 전체관람가 ,임순례,"문소리, 김정은, 엄태웅, 김지영, 조은지, 강재원"
97, 범죄 , 116분 55초 , 15세이상관람가 ,장창원,"현빈, 유지태"
98, 드라마 , 147분 4초 , 청소년관람불가 ,강형철,"최승현, 신세경, 곽도원, 유해진, 김윤석, 이하늬, 김인권, 이경영, 고수희, 오정세"
99, 코미디 , 128분 0초 , 15세이상관람가 ,조진규,"박신양, 김정태, 엄지원, 정혜영"
100," 사극, 코미디, 어드벤처 ", 124분 53초 , 12세이상관람가 ,김석윤,"김명민, 오달수, 이연희"
101, 사극 , 135분 53초 , 15세이상관람가 ,이재규,"현빈, 정재영, 조정석, 한지민, 조재현, 박성웅, 김성령, 정은채"
102," 사극, 드라마 ", 140분 0초 , 15세이상관람가 ,황동혁,"이병헌, 김윤석, 박해일, 고수, 박희순, 조우진"
103," 액션, 드라마 ", 115분 35초 , 15세이상관람가 ,연상호,"강동원, 이정현"
104," 범죄, 드라마 ", 109분 59초 , 15세이상관람가 ,김태균,"김윤석, 주지훈, 문정희, 진선규, 이유준"
105, 드라마 , 114분 18초 , 12세이상관람가 ,최국희,"김혜수, 유아인, 허준호, 조우진, 뱅상 카셀"
106, 드라마 , 133분 0초 , 청소년관람불가 ,유하,"조인성, 주진모, 송지효, 임주환, 여욱환"
107," 사극, 드라마, 액션, 전쟁 ", 134분 0초 , 15세이상관람가 ,김유진,"정재영, 한은정, 허준호"
108, 드라마 , 118분 40초 , 12세이상관람가 ,김도영,"정유미, 공유, 김국희"
109," 액션, 드라마 ", 121분 2초 , 15세이상관람가 ,류승완,"김윤석, 조인성, 허준호, 구교환, 김소진, 정만식"
110, 드라마 , 127분 13초 , 15세이상관람가 ,조정래,"손숙, 강하나, 최리, 임성철, 정무성, 류신"
111," 범죄, 액션 ", 117분 31초 , 청소년관람불가 ,조범구,"정우성, 안성기, 이범수, 김인권, 이시영, 안길강, 최진혁"
112," 드라마, 액션 ", 125분 0초 , 15세관람가 ,곽경택,"이정재, 이미연, 장동건"
113, 드라마 , 100분 0초 , 15세이상관람가 ,정지영,"안성기, 박원상, 나영희, 김지호, 신종훈"
114," 액션, 스릴러, 범죄 ", 110분 45초 , 15세이상관람가 ,김성훈,"이선균, 조진웅"
